Carriolas,Bueno,Media,Regular,MXN ,Seminuevo sin detalle,Funcionamiento,7 días,General,N=Normal,Ob Modelo,Ob Tipo ,Ob Incluye travel system ,Ob Capacidad de la carriola,Ob Es reclinable,Ob Es 3 en 1,Ob Cantidad de posiciones de reclinado,Almacén General,Etiquetas ,Descripción,Información Adicional
,,,,,,,,Ergobaby ,,,,,,,,,,,,
,,,,,,,,Bright Starts,,,,,,,,,,,,
,,,,,,,,Chicco,,,,,,,,,,,,
,,,,,,,,De mil amores,,,,,,,,,,,,
,,,,,,,,LeachCo,,,,,,,,,,,,
,,,,,,,,My Best Friend,,,,,,,,,,,,
,,,,,,,,Babies y kiddies ,,,,,,,,,,,,
,,,,,,,,Boppy,,,,,,,,,,,,
,,,,,,,,Providencia,,,,,,,,,,,,
,,,,,,,,Holo,,,,,,,,,,,,
,,,,,,,,Dockatot,,,,,,,,,,,,
,,,,,,,,Mon Caramel ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Móviles de cuna,Bueno,Media,Regular,MXN ,Seminuevo sin detalle,Funcionamiento,7 días,General,N=Normal,Ob Modelo,Almacén General,Etiquetas,Descripción,Información Adicional,,,,,,
55%,Excelente,Alta,Buena,MXN,Seminuevo sin detalle,Funcionamiento,7,General,S = Sencilla,Sonido y movimiento,Almacén General,,6,,,,,,,
65%,Bueno,Media,Regular,USD,Seminuevo con detalle,,,Baby Einstein,N=Normal,Con proyector,Consignación,,9,,,,,,,
20%,Regular,Baja,Mala,GUAT,Nuevo,,,Infanti,A= Alto,Otro,,,11,,,,,,,
55%,,,,MXN ,,,,Chicco,P= Premium,,,,,,,,,,,
,,,,,,,,Tiny Love,,,,,,,,,,,,
,,,,,,,,Fisher Price,,,,,,,,,,,,
,,,,,,,,Homedics,,,,,,,,,,,,
,,,,,,,,Bright Starts,,,,,,,,,,,,
,,,,,,,,Taf toy ,,,,,,,,,,,,
,,,,,,,,MonCaramel,,,,,,,,,,,,
,,,,,,,,Teytoy,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Barandal para cama,Bueno,Media,Regular,MXN ,Seminuevo sin detalle,Funcionamiento,7 días,General,N=Normal,Ob Modelo,Ob Tipo,Almacén General,Etiquetas,Descripción,Información Adicional,,,,,
55%,Excelente,Alta,Buena,MXN,Seminuevo sin detalle,Funcionamiento,7,General,S = Sencilla,120 cm,Altura ajustable,Almacén General,,6,12,,,,,
65%,Bueno,Media,Regular,USD,Seminuevo con detalle,,,Prinsel,N=Normal,180 cm,Fijo,Consignación,,9,,,,,,
20%,Regular,Baja,Mala,GUAT,Nuevo,,,Chicco,A= Alto,Otro,,,,11,,,,,,
55%,,,,MXN ,,,,Infanti,P= Premium,100 cm,,,,,,,,,,
,,,,,,,,The first years,,,,,,,,,,,,
,,,,,,,,Safety 1st,,,,,,,,,,,,
,,,,,,,,Dolly,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Muebles de recámara,Bueno,Media,Regular,MXN ,Seminuevo sin detalle,Funcionamiento,7 días,General,N=Normal,Ob Modelo,Almacén General,Etiquetas,Descripción,Información Adicional,,,,,,
50%,Excelente,Alta,Buena,MXN,Seminuevo sin detalle,Funcionamiento,7,General,S = Sencilla,Cómoda/cajonera,Almacén General,,6,,,,,,,
60%,Bueno,Media,Regular,USD,Seminuevo con detalle,,,Baby Smile,N=Normal,Cabecera,Consignación,,9,,,,,,,
15%,Regular,Baja,Mala,GUAT,Nuevo,,,Grand home,A= Alto,Buró,,,11,,,,,,,
50%,,,,MXN ,,,,Munire furniture,P= Premium,Ropero/Closet,,,,,,,,,,
,,,,,,,,Ikea,,Mecedora para mamá,,,,,,,,,,
