id,subcategory_id,name,display_name,type,order_index,options,created_at,updated_at,mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,17,tipo,Tipo,seleccion,2,"['Altura ajustable'"""," '""Fijo'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,18,modelo,Modelo,seleccion,1,"['Cómoda/cajonera'"""," '""Cabecera'"""," '""Buró'"""," '""Ropero/Closet'"""," '""Mecedora para mamá'"""," '""Librero'"""," '""Cómoda con tina'"""," '""Baúl'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,19,modelo,Modelo,seleccion,1,"['Álbum Fotos'"""," '""Lámparas'"""," '""Cuadros'"""," '""Humidificador'"""," '""Nebulizador'"""," '""Bote Pañalero'"""," '""Bote Basura/ropa'"""," '""Otro'"""," '""Sillon con cojin'"""," '""Tapete'"""," '""Saco de dormir'"""," '""Ruido Blanco'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,20,modelo,Modelo,seleccion,1,"['Silla alta'"""," '""Portátil fijar en silla'"""," '""Portátil fijar en mesa'""",,,34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20,cantidad_posiciones,Cantidad de posiciones,seleccion,2,"['Fija'"""," '""Niveles de altura'"""," '""Giratoria'"""," '""Otra'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,20,desmontable,Desmontable,seleccion,3,"['Charola desmontable'"""," '""Silla Desmontable'""",,,34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,20,plegable,Plegable,seleccion,4,"['Plegable'"""," '""No Plegable'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,20,reclinable,Reclinable,seleccion,5,"['Reclinable'"""," '""No Reclinable'""",,34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,31,modelo,Modelo,seleccion,1,"['Eléctrico'"""," '""Para Auto'""",,34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,31,tipo,Tipo,seleccion,2,"['Sencillo'"""," '""Digital'""",,34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
