id,subcategory_id,,offer_print,name,display_name,type,order_index,options,created_at,updated_at,mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,19,,TRUE,modelo,Modelo,seleccion,1,"['Álbum Fotos'"""," '""Lámparas'"""," '""Cuadros'"""," '""Humidificador'"""," '""Nebulizador'"""," '""Bote Pañalero'"""," '""Bote Basura/ropa'"""," '""Otro'"""," '""Sillon con cojin'"""," '""Tapete'"""," '""Saco de dormir'"""," '""Ruido Blanco'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,20,,TRUE,modelo,Modelo,seleccion,1,"['Silla alta'"""," '""Portátil fijar en silla'"""," '""Portátil fijar en mesa'""",,,34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,20,,FALSE,cantidad_posiciones,Cantidad de posiciones,seleccion,2,"['Fija'"""," '""Niveles de altura'"""," '""Giratoria'"""," '""Otra'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20,,FALSE,desmontable,Desmontable,seleccion,3,"['Charola desmontable'"""," '""Silla Desmontable'""",,,34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,20,,FALSE,plegable,Plegable,seleccion,4,"['Plegable'"""," '""No Plegable'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,20,,FALSE,reclinable,Reclinable,seleccion,5,"['Reclinable'"""," '""No Reclinable'""",,34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,31,,FALSE,modelo,Modelo,seleccion,1,"['Eléctrico'"""," '""Para Auto'""",,34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,31,,FALSE,tipo,Tipo,seleccion,2,"['Sencillo'"""," '""Digital'""",,34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,32,,TRUE,modelo,Modelo,seleccion,1,"['Microondas'"""," '""Eléctrico'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,33,,TRUE,modelo,Modelo,seleccion,1,"['Doble'"""," '""Sencillo'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,33,,FALSE,tipo_fuente,Tipo de fuente,seleccion,2,"['Eléctrico'"""," '""Manual'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,33,,FALSE,tipo,Tipo,seleccion,3,"['Enchufe y Pilas'"""," '""Pilas'"""," '""No pilas'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,33,,FALSE,niveles_succion,Niveles de succión,seleccion,4,"['Con Niveles de succión'"""," '""Niveles y Tipo de succión'"""," '""Sin Niveles de succión'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,34,,TRUE,modelo,Modelo,seleccion,1,"['Eléctrico'"""," '""Manual'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,34,,FALSE,tipo,Tipo,seleccion,2,"['Sencillo'"""," '""Diferentes funciones'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,35,,TRUE,modelo,Modelo,seleccion,1,"['Baberos'"""," '""Vasos'"""," '""Platos'"""," '""Cubiertos'"""," '""Portavaso'"""," '""Desechables'"""," '""Red papillas'"""," '""Mordederas'"""," '""Para papillas'"""," '""Escurridor de biberones'"""," '""Chupones'"""," '""Clip Chupones'"""," '""Biberon'"""," '""Cepillos'"""," '""Accesorios de extractor'"""," '""Recolector'"""," '""Termo'"""," '""Mantel'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
