ID,Tipo,SKU,"GTIN, UPC, EAN, or ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición
41974,simple,HSACRP14,,Cuadros,1,0,visible,Detalle en marco,"Precio de comparación $1320 Cuadros, General, Seminuevo con detalle, , Panda",,,taxable,,1,1,,0,0,6.83,,,,0,1320,,412.66225,A dormir > Accesorios Recámara,"Cuadros, Polanco, Ver todo de a dormir",,https://entrepeques.mx/wp-content/uploads/2023/12/HSACRP14-3.jpg,,,,,,,,,0
41980,simple,HSBANP24,,Tippi Tina,1,0,visible,"No plegable, ","Precio de comparación $1000 Tina, Tippi, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,17.91,,,,0,1000,,539,Baño > Bañeras,"Polanco, Tina, Ver todo de en casa",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSBANP24-3.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSBANP241-3.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSBANP242-3.jpg",,,,,,,,,0
42022,simple,HSCAPP34,,Cybex Cangurera,1,0,visible,Sin información adicional,"Precio de comparación $5500 Cangurera, Cybex, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,4.59,,,,0,5500,,2694.6,A pasear > Cargando al peque,"Cangurera, Polanco, Ver todo de a pasear",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSCAPP34-3.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSCAPP341-3.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSCAPP342-3.jpg",,,,,,,,,0
42044,simple,HSCARP107,,Safety 1st Con portabebé,1,0,visible,"No 3en1, Reclinable, Sencilla, Travel System , ","Precio de comparación $6900 Tradicional, Con portabebé, Safety 1st, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,57.09,,,,0,6900,,3510,A pasear > Carriolas,"Con portabebé, Polanco, Ver todo de a pasear",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSCARP107-4.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSCARP1071-4.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSCARP1072-4.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSCARP1073-4.jpg",,,,,,,,,0
42055,simple,HSGYTP29,,MOncaramel Tapete,1,0,visible,"Grande, ","Precio de comparación $690 Tapete, MOncaramel, Seminuevo sin detalle, , Convertible a cja",,,taxable,,1,1,,0,0,5.95,,,,0,690,,357.5,A Jugar > Gimnasios y tapetes,"Polanco, Tapete, Ver todo de a jugar",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSGYTP29-4.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSGYTP291-4.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSGYTP292-4.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSGYTP293-4.jpg",,,,,,,,,0
42081,simple,HSMDCP13,,Fisher Price Sonido y movimiento,1,0,visible,Sin información adicional,"Precio de comparación $1350 Sonido y movimiento, Fisher Price, Seminuevo sin detalle, , Sin notas",,,taxable,,1,2,,0,0,1.36,,,,0,1350,,693,A dormir > Móviles de cuna,"Polanco, Sonido y movimiento, Ver todo de a dormir",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSMDCP13-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSMDCP131-1.jpg",,,,,,,,,0
42087,simple,HSMDCP15,,Fisher Price Sonido y movimiento,1,0,visible,Sin información adicional,"Precio de comparación $680 Sonido y movimiento, Fisher Price, Seminuevo sin detalle, , Elefante",,,taxable,,1,1,,0,0,1.36,,,,0,680,,319,A dormir > Móviles de cuna,"Polanco, Sonido y movimiento, Ver todo de a dormir",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSMDCP15-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSMDCP151-1.jpg",,,,,,,,,0
42212,simple,HSJUGP218,,Mega Bloks 2 años,1,0,visible,Sin información adicional,"Precio de comparación $900 2 años, Mega Bloks, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,3.06,,,,0,900,,352,A Jugar > Juguetes,"2 años, Polanco, Ver todo de a jugar",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSJUGP218-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSJUGP2181-1.jpg",,,,,,,,,0
42245,simple,HSMDEP23,,Apache Empuje,1,0,visible,"Sin techo, Sin bastón empuje, Sin Control remoto, ","Precio de comparación $2700 Empuje, Apache, Seminuevo sin detalle, , Sin notas",,,taxable,,1,2,,0,0,27.67,,,,0,2700,1350,1501.2,A pasear > Montables de exterior,"Empuje, Polanco, Ver todo de a pasear",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSMDEP23-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSMDEP231-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSMDEP232-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSMDEP233-1.jpg",,,,,,,,,0
42253,simple,HSMDRP7,,Tete Ropero/Closet,1,0,visible,Sin información adicional,"Precio de comparación $9990 Ropero/Closet, Tete, Seminuevo sin vidrio",,,taxable,,1,1,,0,0,45,,,,0,9990,,4539.5559,A dormir > Muebles de recámara,"Polanco, Ropero/Closet, Ver todo de a dormir",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSMDRP7-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSMDRP71-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSMDRP72-1.jpg",,,,,,,,,0
