codigo_producto,subcategoria,categoria,marca,modelo,cantidad_bodega,precio_online,estado
JUGP188,Juguetes,A jugar,Dr.,"",1,434.50,BAJO STOCK
JUGP189,Juguetes,A jugar,Spectra,"",1,2802.60,BAJO STOCK
JUGP190,Juguetes,A jugar,Chicco,"",1,1609.20,BAJO STOCK
JUGP191,Juguetes,A jugar,Tommee,"",1,1069.20,BAJO STOCK
JUGP192,Juguetes,A jugar,Spectra,"",1,324.50,BAJO STOCK
JUGP193,Juguetes,A jugar,Medela,"",1,132.00,BAJO STOCK
JUGP194,Juguetes,A jugar,Medela,"",1,715.00,BAJO STOCK
JUGP196,Juguetes,A jugar,Medela,"",1,1069.20,BAJO STOCK
JUGP197,Juguetes,A jugar,Haakaa,"",1,368.50,BAJO STOCK
JUGP198,Juguetes,A jugar,Spectra,"",1,2970.00,BAJO STOCK
JUGP199,Juguetes,A jugar,Espejos,"",1,165.00,BAJO STOCK
JUGP200,Juguetes,A jugar,BabyBjorn,"",1,1074.60,BAJO STOCK
JUGP201,Juguetes,A jugar,Twingar,"",1,1350.00,BAJO STOCK
JUGP202,Juguetes,A jugar,Koala,"",1,715.00,BAJO STOCK
JUGP203,Juguetes,A jugar,Yemaya,"",1,2149.20,BAJO STOCK
JUGP204,Juguetes,A jugar,Pac,"",1,979.00,BAJO STOCK
JUGP205,Juguetes,A jugar,Gap,"",1,489.50,BAJO STOCK
JUGP207,Juguetes,A jugar,Infanti,"",1,1990.00,BAJO STOCK
JUGP209,Juguetes,A jugar,Pigeon,"",1,115.50,BAJO STOCK
JUGP210,Juguetes,A jugar,Pigeon,"",1,220.00,BAJO STOCK
JUGP211,Juguetes,A jugar,Artista,"",1,4801.78,BAJO STOCK
JUGP212,Juguetes,A jugar,Saddle,"",1,968.00,BAJO STOCK
JUGP213,Juguetes,A jugar,Disney,"",1,214.50,BAJO STOCK
JUGP214,Juguetes,A jugar,Its,"",1,1074.60,BAJO STOCK
JUGP215,Juguetes,A jugar,General,"",1,649.00,BAJO STOCK
JUGP216,Juguetes,A jugar,Next,"",1,753.50,BAJO STOCK
JUGP217,Juguetes,A jugar,Disney,"",1,495.00,BAJO STOCK
JUGP218,Juguetes,A jugar,Heelys,"",1,385.00,BAJO STOCK
JUGP219,Juguetes,A jugar,Heelys,"",1,385.00,BAJO STOCK
JUGP220,Juguetes,A jugar,Disney,"",1,275.00,BAJO STOCK
JUGP221,Juguetes,A jugar,Heelys,"",1,539.00,BAJO STOCK
JUGP222,Juguetes,A jugar,Spectra,"",1,324.50,BAJO STOCK
JUGP223,Juguetes,A jugar,Baby,"",1,385.00,BAJO STOCK
JUGP224,Juguetes,A jugar,Personajes,"",1,742.50,BAJO STOCK
