codigo_producto,subcategoria,categoria,marca,modelo,cantidad_bodega,condicion,precio_online,precio_sugerido_original,peso_kg,num_fotos,ubicacion,modalidad,fecha_valuacion,fecha_publicacion,notas,estado
JUGP027,Juguetes,A jugar,General,"",1,bueno,1393.20,1393.20,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP30 - General Bolsa,BAJO STOCK
JUGP028,Juguetes,A jugar,General,"",1,bueno,643.50,643.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP31 - General Bolsa,BAJO STOCK
JUGP029,Juguetes,A jugar,General,"",1,bueno,429.00,429.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP32 - General Bolsa,BAJO STOCK
JUGP030,Juguetes,A jugar,General,"",1,bueno,506.00,506.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP36 - General Bolsa,BAJO STOCK
JUGP031,Juguetes,A jugar,Pañalera,"",1,bueno,748.00,748.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP40 - Pañalera JJ Cole,BAJO STOCK
JUGP032,Juguetes,A jugar,Nature,"",1,bueno,324.50,324.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSEDLP6 - Nature Bond Manual Sencillo,BAJO STOCK
JUGP033,Juguetes,A jugar,Lansinoh,"",1,bueno,2189.00,2189.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSEDLP8 - Lansinoh Sencillo,BAJO STOCK
JUGP034,Juguetes,A jugar,Evenflo,"",1,bueno,247.50,247.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSEDLP9 - Evenflo Sencillo,BAJO STOCK
JUGP035,Juguetes,A jugar,Lansinoh,"",1,bueno,2189.00,2189.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSEDLP11 - Lansinoh Doble,BAJO STOCK
JUGP036,Juguetes,A jugar,Ameda,"",1,bueno,2322.00,2322.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSEDLP14 - Ameda Doble,BAJO STOCK
JUGP037,Juguetes,A jugar,Medela,"",2,bueno,3186.00,3186.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSEDLP18 - Medela Doble,BAJO STOCK
JUGP038,Juguetes,A jugar,Avent,"",1,bueno,1296.00,1296.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSEDLP19 - Avent Sencillo,BAJO STOCK
JUGP039,Juguetes,A jugar,Free,"",1,bueno,6990.00,6990.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSEDLP20 - Free Style Nuevo Medela Doble,BAJO STOCK
JUGP040,Juguetes,A jugar,Avent,"",1,bueno,1296.00,1296.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSEDLP21 - Avent Sencillo,BAJO STOCK
JUGP041,Juguetes,A jugar,Chicco,"",1,bueno,1069.20,1069.20,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSEDLP22 - Chicco Sencillo,BAJO STOCK
JUGP042,Juguetes,A jugar,Medela,"",1,bueno,4212.00,4212.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSEDLP24 - Medela Doble,BAJO STOCK
JUGP043,Juguetes,A jugar,Avent,"",1,bueno,1296.00,1296.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSEDLP25 - Avent Sencillo,BAJO STOCK
JUGP044,Juguetes,A jugar,Medela,"",1,bueno,3186.00,3186.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSEDLP26 - Medela Doble,BAJO STOCK
JUGP045,Juguetes,A jugar,Mochila,"",1,bueno,346.50,346.50,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSABDP44 - Mochila Escolar SkipHop Detalle,BAJO STOCK
JUGP046,Juguetes,A jugar,Mesa,"",1,bueno,1350.00,1350.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSMDAP9 - Mesa de madera  Sencilla,BAJO STOCK
JUGP047,Juguetes,A jugar,Maya,"",1,bueno,879.98,879.98,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSJUGP105 - Maya group  5 años y más,BAJO STOCK
JUGP049,Juguetes,A jugar,Fisher,"",1,bueno,495.00,495.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSJUGP111 - Fisher Price 3 años,BAJO STOCK
JUGP050,Juguetes,A jugar,DC,"",1,bueno,434.50,434.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJUGP114 - DC Comics set de linterna verde,BAJO STOCK
JUGP051,Juguetes,A jugar,Cuadros,"",1,bueno,907.50,907.50,0.50,4,Polanco,compra directa,25/09/2025,,SKU: HSACRP8 - Cuadros  Otro,BAJO STOCK
JUGP052,Juguetes,A jugar,Rocky,"",2,bueno,825.00,825.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSJUGP129 - Rocky Fisher Price 2 años,BAJO STOCK
JUGP053,Juguetes,A jugar,Mattel,"",2,bueno,99.00,99.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJUGP138 - Mattel 5 años y más,BAJO STOCK
